day,all
20220905,217
20220905,957
20220905,216
20220905,54
20220905,463
20220905,46
20220905,6
20220905,148
20220905,65
20220905,2
20220905,79
20220905,2663
20220905,48
20220905,262
20220905,67
20220905,3
20220905,230
20220905,1449
20220905,22
20220905,1
20220905,282
20220905,562
20220905,3
20220905,8687
20220905,67
20220905,1072
20220905,156
20220905,18
20220905,576
20220905,87
20220905,87
20220905,128
20220905,30
20220905,45
20220905,70
20220905,2155
20220905,179
20220905,13
20220905,129
20220905,1089
20220905,249
20220905,168
20220905,608
20220905,556
20220905,1
20220905,88
20220905,7
20220905,86
20220905,1288
20220905,119
20220905,33
20220905,767
20220905,596
20220905,7246
20220905,47468
20220905,6089
20220905,1859
20220905,15
20220905,1451
20220905,53151
20220905,11343
20220905,368
20220905,1953
20220905,2855
20220905,575
20220905,1502
20220905,6309
20220905,86629
20220905,14657
20220905,562566
20220905,260129
20220905,72465
20220905,9287
20220905,542990
20220905,458574
20220905,2087474
20220905,4092433
20220904,29
20220904,11
20220904,55
20220904,3
20220904,10
20220904,8
20220904,8
20220904,4
20220904,79
20220904,6
20220904,1
20220904,31
20220904,6
20220904,14
20220904,22
20220904,2
20220904,1624
20220904,8
20220904,4
20220904,4
20220904,28
20220904,14
20220904,33
20220904,43
20220904,156
20220904,9
20220904,161
20220904,9
20220904,1
20220904,6
20220904,183
20220904,2
20220904,118
20220904,86
20220904,6
20220904,15
20220904,2
20220904,12
20220904,10
20220904,2
20220904,235
20220904,1
20220904,18
20220904,2
20220904,3
20220904,5
20220904,25
20220904,12
20220904,43
20220904,9
20220904,20
20220904,2
20220904,3
20220904,22
20220904,1
20220904,2
20220904,5
20220904,8
20220904,1
20220904,5
20220904,1
20220904,4
20220904,15
20220904,104
20220904,28
20220904,88
20220904,1
20220904,2
20220904,119
20220904,29
20220904,1
20220904,1
20220904,5
20220904,1
20220904,4
20220904,2
20220904,3
20220904,7
20220904,5
20220904,11
20220904,5
20220904,5
20220904,17
20220904,15
20220904,7
20220904,3
20220904,3
20220904,16
20220904,5
20220904,7
20220904,6
20220904,1
20220904,1
20220904,21
20220904,2
20220904,3
20220904,11
20220904,1
20220904,1
20220904,9
20220904,76
20220904,2
20220904,3
20220904,31
20220904,8
20220904,15
20220904,25
20220904,134
20220904,2
20220904,77
20220904,9
20220904,7
20220904,47
20220904,3
20220904,171
20220904,7
20220904,1
20220904,704
20220904,146
20220904,58
20220904,312
20220904,3
20220904,26
20220904,82
20220904,62
20220904,60
20220904,1216
20220904,21
20220904,186
20220904,44
20220904,2
20220904,110
20220904,860
20220904,24
20220904,223
20220904,380
20220904,1
